Edad;Genero;P1_Destino;P2_Estres;P3_Frecuencia;P4_NivelEstres;P5_FinSemana
20;Mujer;D) Viajes, conciertos, cursos.;D) Buscar nuevas actividades o viajando.;B) 1 o 2 veces.;8;C) Tranquilo, en casa y preparando la semana.
27;Mujer;C) Ahorrando o invirtiendolo.;D) Buscar nuevas actividades o viajando.;D) Solo cuando hay un evento importante.;3;C) Tranquilo, en casa y preparando la semana.
26;Mujer;A) Salir a beber con amigos y fiestas.;D) Buscar nuevas actividades o viajando.;D) Solo cuando hay un evento importante.;10;C) Tranquilo, en casa y preparando la semana.
20;Hombre;A) Salir a beber con amigos y fiestas.;D) Buscar nuevas actividades o viajando.;A) 4 o mas veces.;7;C) Tranquilo, en casa y preparando la semana.
21;Mujer;A) Salir a beber con amigos y fiestas.;D) Buscar nuevas actividades o viajando.;A) 4 o mas veces.;6;A) Improvisado, con amigos y musica.
20;Mujer;A) Salir a beber con amigos y fiestas.;C) Descansar en casa, planeando mi tiempo y gastos.;B) 1 o 2 veces.;7;C) Tranquilo, en casa y preparando la semana.
20;Hombre;A) Salir a beber con amigos y fiestas.;A) Salir a desconectarme, beber y socializar.;B) 1 o 2 veces.;2;A) Improvisado, con amigos y musica.
20;Hombre;A) Salir a beber con amigos y fiestas.;C) Descansar en casa, planeando mi tiempo y gastos.;B) 1 o 2 veces.;8;C) Tranquilo, en casa y preparando la semana.
22;Hombre;B) Gimnasio, comida y salud.;B) Hacer ejercicio y meditar.;D) Solo cuando hay un evento importante.;8;C) Tranquilo, en casa y preparando la semana.
20;Mujer;B) Gimnasio, comida y salud.;B) Hacer ejercicio y meditar.;D) Solo cuando hay un evento importante.;4;C) Tranquilo, en casa y preparando la semana.
20;Mujer;B) Gimnasio, comida y salud.;C) Descansar en casa, planeando mi tiempo y gastos.;D) Solo cuando hay un evento importante.;7;C) Tranquilo, en casa y preparando la semana.
26;Hombre;D) Viajes, conciertos, cursos.;B) Hacer ejercicio y meditar.;B) 1 o 2 veces.;4;B) Activo, haciendo deporte y comiendo.
18;Mujer;B) Gimnasio, comida y salud.;C) Descansar en casa, planeando mi tiempo y gastos.;D) Solo cuando hay un evento importante.;7;A) Improvisado, con amigos y musica.
20;Hombre;A) Salir a beber con amigos y fiestas.;B) Hacer ejercicio y meditar.;A) 4 o mas veces.;6;C) Tranquilo, en casa y preparando la semana.
22;Hombre;A) Salir a beber con amigos y fiestas.;A) Salir a desconectarme, beber y socializar.;D) Solo cuando hay un evento importante.;3;A) Improvisado, con amigos y musica.
